 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MAX_IF43b-1_001_thumb_w1405-0001-1,41507,255.000,0.000,255,255,255,315.141,181.879,315.141,181.879,772.808,192,78,254,211,252.923,208.950,9.196,0.873,256.301,10584285,255,NaN,NaN,100,10584285,1,193,210,9.205,211.000,1.210,0.826,0.988
2,MAX_IF43b-1_001_thumb_w1405-0001-1,32140,255.000,0.000,255,255,255,166.932,421.283,166.932,421.283,689.428,58,330,220,179,224.320,182.427,5.630,0.850,226.833,8195700,255,NaN,NaN,100,8195700,1,60,466,20.113,176.900,1.230,0.813,0.980
3,MAX_IF43b-1_001_thumb_w1405-0001-1,7325,255.000,0.000,255,255,255,533.608,508.569,533.608,508.569,336.250,484,457,103,94,109.523,85.156,142.995,0.814,117.034,1867875,255,NaN,NaN,100,1867875,1,490,475,139.505,92.387,1.286,0.778,0.963
4,MAX_IF43b-1_001_thumb_w1405-0001-1,3739,255.000,0.000,255,255,255,543.575,576.119,543.575,576.119,244.024,502,552,83,56,83.776,56.826,177.537,0.789,85.796,953445,255,NaN,NaN,100,953445,1,502,552,158.819,56.000,1.474,0.678,0.980
5,MAX_IF43b-1_001_thumb_w1405-0001-1,21031,255.000,0.000,255,255,255,513.867,718.696,513.867,718.696,571.203,417,639,186,144,186.650,143.463,11.235,0.810,200.002,5362905,255,NaN,NaN,100,5362905,1,417,768,22.333,143.070,1.301,0.769,0.980
6,MAX_IF43b-1_001_thumb_w1405-0001-1,34899,255.000,0.000,255,255,255,784.907,818.007,784.907,818.007,712.767,677,713,213,221,217.980,203.848,104.202,0.863,222.800,8899245,255,NaN,NaN,100,8899245,1,762,934,78.085,202.516,1.069,0.935,0.984
7,MAX_IF43b-1_001_thumb_w1405-0001-1,15853,255.000,0.000,255,255,255,506.129,833.693,506.129,833.693,500.676,422,780,162,120,165.758,121.772,172.740,0.795,170.906,4042515,255,NaN,NaN,100,4042515,1,422,789,155.084,118.974,1.361,0.735,0.977
8,MAX_IF43b-1_001_thumb_w1405-0001-1,30245,255.000,0.000,255,255,255,478.352,1031.079,478.352,1031.079,662.423,382,922,194,215,225.081,171.090,56.379,0.866,222.623,7712475,255,NaN,NaN,100,7712475,1,412,1121,53.954,170.797,1.316,0.760,0.984
9,MAX_IF43b-1_001_thumb_w1405-0001-1,25392,255.000,0.000,255,255,255,703.951,1066.685,703.951,1066.685,627.696,607,975,197,183,215.104,150.300,43.254,0.810,216.462,6474960,255,NaN,NaN,100,6474960,1,620,1135,38.246,148.968,1.431,0.699,0.972
10,MAX_IF43b-1_001_thumb_w1405-0001-1,29763,255.000,0.000,255,255,255,213.888,1089.024,213.888,1089.024,665.938,111,994,211,199,226.895,167.018,40.824,0.843,226.259,7589565,255,NaN,NaN,100,7589565,1,151,1182,49.481,167.936,1.359,0.736,0.980
11,MAX_IF43b-1_001_thumb_w1405-0001-1,7208,255.000,0.000,255,255,255,921.342,1093.034,921.342,1093.034,341.588,860,1044,111,109,119.273,76.946,139.720,0.776,118.406,1838040,255,NaN,NaN,100,1838040,1,881,1053,127.451,75.421,1.550,0.645,0.965
12,MAX_IF43b-1_001_thumb_w1405-0001-1,27387,255.000,0.000,255,255,255,824.076,1167.740,824.076,1167.740,671.561,723,1057,215,219,195.621,178.254,67.504,0.763,219.513,6983685,255,NaN,NaN,100,6983685,1,804,1057,93.918,170.897,1.097,0.911,0.961
13,MAX_IF43b-1_001_thumb_w1405-0001-1,12288,255.000,0.000,255,255,255,538.543,1178.117,538.543,1178.117,453.931,458,1118,147,128,136.033,115.013,4.435,0.749,154.984,3133440,255,NaN,NaN,100,3133440,1,458,1210,19.604,117.341,1.183,0.845,0.941
14,MAX_IF43b-1_001_thumb_w1405-0001-1,21562,255.000,0.000,255,255,255,661.977,1291.455,661.977,1291.455,561.470,585,1198,161,182,176.634,155.426,97.575,0.859,182.464,5498310,255,NaN,NaN,100,5498310,1,650,1380,85.914,160.378,1.136,0.880,0.975
15,MAX_IF43b-1_001_thumb_w1405-0001-1,24441,255.000,0.000,255,255,255,193.250,1288.077,193.250,1288.077,649.654,89,1206,211,167,226.480,137.404,25.246,0.728,220.273,6232455,255,NaN,NaN,100,6232455,1,101,1350,32.391,136.888,1.648,0.607,0.967
16,MAX_IF43b-1_001_thumb_w1405-0001-1,10464,255.000,0.000,255,255,255,503.890,1267.583,503.890,1267.583,402.676,445,1211,127,113,127.123,104.805,167.793,0.811,130.874,2668320,255,NaN,NaN,100,2668320,1,457,1211,141.203,104.334,1.213,0.824,0.974
17,MAX_IF43b-1_001_thumb_w1405-0001-1,6502,255.000,0.000,255,255,255,416.566,1341.764,416.566,1341.764,369.078,367,1300,112,79,112.642,73.495,7.754,0.600,119.971,1658010,255,NaN,NaN,100,1658010,1,367,1326,158.997,79.000,1.533,0.652,0.893
18,MAX_IF43b-1_001_thumb_w1405-0001-1,6380,255.000,0.000,255,255,255,842.291,1353.077,842.291,1353.077,358.274,787,1309,107,97,107.260,75.734,137.883,0.625,114.630,1626900,255,NaN,NaN,100,1626900,1,791,1321,137.121,77.648,1.416,0.706,0.899
19,MAX_IF43b-1_001_thumb_w1405-0001-1,6443,255.000,0.000,255,255,255,324.818,1370.745,324.818,1370.745,424.132,265,1321,101,104,104.722,78.336,47.045,0.450,120.652,1642965,255,NaN,NaN,100,1642965,1,265,1392,33.163,82.731,1.337,0.748,0.861
