 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MAX_IF43b-1_001_thumb_w1405-0001-1,41507,255.0000,0.0000,255,255,255,315.1410,181.8790,315.1410,181.8790,772.8080,192,78,254,211,252.9230,208.9500,9.1960,0.8730,256.3010,10584285.0000,255,,,100,10584285.0000,1,193,210,9.2050,211.0000,1.2100,0.8260,0.9880
2,MAX_IF43b-1_001_thumb_w1405-0001-1,32140,255.0000,0.0000,255,255,255,166.9320,421.2830,166.9320,421.2830,689.4280,58,330,220,179,224.3200,182.4270,5.6300,0.8500,226.8330,8195700.0000,255,,,100,8195700.0000,1,60,466,20.1130,176.9000,1.2300,0.8130,0.9800
3,MAX_IF43b-1_001_thumb_w1405-0001-1,7325,255.0000,0.0000,255,255,255,533.6080,508.5690,533.6080,508.5690,336.2500,484,457,103,94,109.5230,85.1560,142.9950,0.8140,117.0340,1867875.0000,255,,,100,1867875.0000,1,490,475,139.5050,92.3870,1.2860,0.7780,0.9630
4,MAX_IF43b-1_001_thumb_w1405-0001-1,3739,255.0000,0.0000,255,255,255,543.5750,576.1190,543.5750,576.1190,244.0240,502,552,83,56,83.7760,56.8260,177.5370,0.7890,85.7960,953445.0000,255,,,100,953445.0000,1,502,552,158.8190,56.0000,1.4740,0.6780,0.9800
5,MAX_IF43b-1_001_thumb_w1405-0001-1,21031,255.0000,0.0000,255,255,255,513.8670,718.6960,513.8670,718.6960,571.2030,417,639,186,144,186.6500,143.4630,11.2350,0.8100,200.0020,5362905.0000,255,,,100,5362905.0000,1,417,768,22.3330,143.0700,1.3010,0.7690,0.9800
6,MAX_IF43b-1_001_thumb_w1405-0001-1,34899,255.0000,0.0000,255,255,255,784.9070,818.0070,784.9070,818.0070,712.7670,677,713,213,221,217.9800,203.8480,104.2020,0.8630,222.8000,8899245.0000,255,,,100,8899245.0000,1,762,934,78.0850,202.5160,1.0690,0.9350,0.9840
7,MAX_IF43b-1_001_thumb_w1405-0001-1,15853,255.0000,0.0000,255,255,255,506.1290,833.6930,506.1290,833.6930,500.6760,422,780,162,120,165.7580,121.7720,172.7400,0.7950,170.9060,4042515.0000,255,,,100,4042515.0000,1,422,789,155.0840,118.9740,1.3610,0.7350,0.9770
8,MAX_IF43b-1_001_thumb_w1405-0001-1,30245,255.0000,0.0000,255,255,255,478.3520,1031.0790,478.3520,1031.0790,662.4230,382,922,194,215,225.0810,171.0900,56.3790,0.8660,222.6230,7712475.0000,255,,,100,7712475.0000,1,412,1121,53.9540,170.7970,1.3160,0.7600,0.9840
9,MAX_IF43b-1_001_thumb_w1405-0001-1,25392,255.0000,0.0000,255,255,255,703.9510,1066.6850,703.9510,1066.6850,627.6960,607,975,197,183,215.1040,150.3000,43.2540,0.8100,216.4620,6474960.0000,255,,,100,6474960.0000,1,620,1135,38.2460,148.9680,1.4310,0.6990,0.9720
10,MAX_IF43b-1_001_thumb_w1405-0001-1,29763,255.0000,0.0000,255,255,255,213.8880,1089.0240,213.8880,1089.0240,665.9380,111,994,211,199,226.8950,167.0180,40.8240,0.8430,226.2590,7589565.0000,255,,,100,7589565.0000,1,151,1182,49.4810,167.9360,1.3590,0.7360,0.9800
11,MAX_IF43b-1_001_thumb_w1405-0001-1,7208,255.0000,0.0000,255,255,255,921.3420,1093.0340,921.3420,1093.0340,341.5880,860,1044,111,109,119.2730,76.9460,139.7200,0.7760,118.4060,1838040.0000,255,,,100,1838040.0000,1,881,1053,127.4510,75.4210,1.5500,0.6450,0.9650
12,MAX_IF43b-1_001_thumb_w1405-0001-1,27387,255.0000,0.0000,255,255,255,824.0760,1167.7400,824.0760,1167.7400,671.5610,723,1057,215,219,195.6210,178.2540,67.5040,0.7630,219.5130,6983685.0000,255,,,100,6983685.0000,1,804,1057,93.9180,170.8970,1.0970,0.9110,0.9610
13,MAX_IF43b-1_001_thumb_w1405-0001-1,12288,255.0000,0.0000,255,255,255,538.5430,1178.1170,538.5430,1178.1170,453.9310,458,1118,147,128,136.0330,115.0130,4.4350,0.7490,154.9840,3133440.0000,255,,,100,3133440.0000,1,458,1210,19.6040,117.3410,1.1830,0.8450,0.9410
14,MAX_IF43b-1_001_thumb_w1405-0001-1,21562,255.0000,0.0000,255,255,255,661.9770,1291.4550,661.9770,1291.4550,561.4700,585,1198,161,182,176.6340,155.4260,97.5750,0.8590,182.4640,5498310.0000,255,,,100,5498310.0000,1,650,1380,85.9140,160.3780,1.1360,0.8800,0.9750
