,Label,Mean_normalized,Median_normalized,Area,total_intensity,Skew,Kurt
1,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,41507.0000,10584285.0000,,
2,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,32140.0000,8195700.0000,,
3,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,7325.0000,1867875.0000,,
4,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,3739.0000,953445.0000,,
5,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,21031.0000,5362905.0000,,
6,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,34899.0000,8899245.0000,,
7,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,15853.0000,4042515.0000,,
8,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,30245.0000,7712475.0000,,
9,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,25392.0000,6474960.0000,,
10,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,29763.0000,7589565.0000,,
11,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,7208.0000,1838040.0000,,
12,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,27387.0000,6983685.0000,,
13,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,12288.0000,3133440.0000,,
14,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,21562.0000,5498310.0000,,
15,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,24441.0000,6232455.0000,,
16,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,10464.0000,2668320.0000,,
17,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,6502.0000,1658010.0000,,
18,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,6380.0000,1626900.0000,,
19,MAX_IF43b-1_001_thumb_w1405-0001-1,255.0000,255,6443.0000,1642965.0000,,
20,MAX_IF43b-1_001_thumb_w1405-0001:0001-0183,30.3090,28,41507.0000,1258035.6630,1.2270,1.8790
21,MAX_IF43b-1_001_thumb_w1405-0001:0002-0419,36.1820,36,32140.0000,1162889.4800,0.6650,1.4710
22,MAX_IF43b-1_001_thumb_w1405-0001:0003-0504,120.1130,139,7325.0000,879827.7250,-0.5690,-1.0470
23,MAX_IF43b-1_001_thumb_w1405-0001:0004-0580,104.4190,119,3739.0000,390422.6410,-0.3390,-1.3090
24,MAX_IF43b-1_001_thumb_w1405-0001:0005-0711,34.3150,33,21031.0000,721678.7650,0.4300,-0.3410
25,MAX_IF43b-1_001_thumb_w1405-0001:0006-0823,35.6150,35,34899.0000,1242927.8850,0.5780,0.4170
26,MAX_IF43b-1_001_thumb_w1405-0001:0007-0840,34.8230,34,15853.0000,552049.0190,0.8080,0.8040
27,MAX_IF43b-1_001_thumb_w1405-0001:0008-1029,33.8520,33,30245.0000,1023853.7400,0.5630,0.8000
28,MAX_IF43b-1_001_thumb_w1405-0001:0009-1066,38.5690,39,25392.0000,979344.0480,-0.1630,0.0670
29,MAX_IF43b-1_001_thumb_w1405-0001:0010-1093,30.9900,29,29763.0000,922355.3700,0.9470,1.0320
30,MAX_IF43b-1_001_thumb_w1405-0001:0011-1098,68.8130,66,7208.0000,496004.1040,0.1200,-0.9660
31,MAX_IF43b-1_001_thumb_w1405-0001:0012-1166,36.6000,30,27387.0000,1002364.2000,1.7960,2.8650
32,MAX_IF43b-1_001_thumb_w1405-0001:0013-1182,33.9720,33,12288.0000,417447.9360,0.9500,1.5870
33,MAX_IF43b-1_001_thumb_w1405-0001:0014-1289,27.7940,27,21562.0000,599294.2280,0.7140,0.3600
34,MAX_IF43b-1_001_thumb_w1405-0001:0015-1289,23.6200,23,24441.0000,577296.4200,0.6690,0.0570
35,MAX_IF43b-1_001_thumb_w1405-0001:0016-1267,29.2580,29,10464.0000,306155.7120,0.2080,-0.2190
36,MAX_IF43b-1_001_thumb_w1405-0001:0017-1339,19.3620,19,6502.0000,125891.7240,0.4800,-0.2100
37,MAX_IF43b-1_001_thumb_w1405-0001:0018-1357,20.6230,20,6380.0000,131574.7400,0.4280,-0.7620
38,MAX_IF43b-1_001_thumb_w1405-0001:0019-1373,17.7200,17,6443.0000,114169.9600,0.6130,0.0260
39,MAX_IF43b-1_001_thumb_w1405-0002:0001-0183,293.7030,305,41507.0000,12190730.4210,-0.0370,-0.6030
40,MAX_IF43b-1_001_thumb_w1405-0002:0002-0419,270.2110,279,32140.0000,8684581.5400,0.0440,-0.7510
41,MAX_IF43b-1_001_thumb_w1405-0002:0003-0504,59.9370,63,7325.0000,439038.5250,0.5120,0.0230
42,MAX_IF43b-1_001_thumb_w1405-0002:0004-0580,53.3190,58,3739.0000,199359.7410,0.3970,0.1520
43,MAX_IF43b-1_001_thumb_w1405-0002:0005-0711,213.0660,216,21031.0000,4480991.0460,0.1890,-0.8000
44,MAX_IF43b-1_001_thumb_w1405-0002:0006-0823,218.4920,223,34899.0000,7625152.3080,0.1240,-0.4440
45,MAX_IF43b-1_001_thumb_w1405-0002:0007-0840,168.7190,164,15853.0000,2674702.3070,0.4450,-0.4270
46,MAX_IF43b-1_001_thumb_w1405-0002:0008-1029,166.5130,169,30245.0000,5036185.6850,0.1430,-0.5870
47,MAX_IF43b-1_001_thumb_w1405-0002:0009-1066,183.3520,194,25392.0000,4655673.9840,-0.1030,-0.9620
48,MAX_IF43b-1_001_thumb_w1405-0002:0010-1093,221.5380,220,29763.0000,6593635.4940,0.2340,-0.4590
49,MAX_IF43b-1_001_thumb_w1405-0002:0011-1098,33.4950,36,7208.0000,241431.9600,0.6050,-0.3940
50,MAX_IF43b-1_001_thumb_w1405-0002:0012-1166,149.2760,149,27387.0000,4088221.8120,0.2870,-0.8500
51,MAX_IF43b-1_001_thumb_w1405-0002:0013-1182,172.0520,181,12288.0000,2114174.9760,-0.0270,-0.5710
52,MAX_IF43b-1_001_thumb_w1405-0002:0014-1289,139.8780,149,21562.0000,3016049.4360,-0.0290,-0.8610
53,MAX_IF43b-1_001_thumb_w1405-0002:0015-1289,165.3060,164,24441.0000,4040243.9460,0.1160,-0.7590
54,MAX_IF43b-1_001_thumb_w1405-0002:0016-1267,181.8670,187,10464.0000,1903056.2880,0.0260,-0.7820
55,MAX_IF43b-1_001_thumb_w1405-0002:0017-1339,125.9970,127,6502.0000,819232.4940,-0.0200,-0.9080
56,MAX_IF43b-1_001_thumb_w1405-0002:0018-1357,138.7970,146,6380.0000,885524.8600,-0.2360,-0.4110
57,MAX_IF43b-1_001_thumb_w1405-0002:0019-1373,147.4960,159,6443.0000,950316.7280,-0.4290,-0.2980
58,MAX_IF43b-1_001_thumb_w1405-0003:0001-0183,8.8220,9,41507.0000,366174.7540,4.6440,35.2840
59,MAX_IF43b-1_001_thumb_w1405-0003:0002-0419,16.4330,15,32140.0000,528156.6200,4.7630,40.4000
60,MAX_IF43b-1_001_thumb_w1405-0003:0003-0504,16.1880,17,7325.0000,118577.1000,0.6510,-0.4850
61,MAX_IF43b-1_001_thumb_w1405-0003:0004-0580,14.2700,15,3739.0000,53355.5300,0.9570,0.7750
62,MAX_IF43b-1_001_thumb_w1405-0003:0005-0711,9.7300,9,21031.0000,204631.6300,3.5220,16.0650
63,MAX_IF43b-1_001_thumb_w1405-0003:0006-0823,6.3490,7,34899.0000,221573.7510,3.8810,23.2070
64,MAX_IF43b-1_001_thumb_w1405-0003:0007-0840,9.7900,8,15853.0000,155200.8700,3.2750,11.9530
65,MAX_IF43b-1_001_thumb_w1405-0003:0008-1029,11.3500,10,30245.0000,343280.7500,3.5270,14.8130
