nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-1_008_thumb0023-1259,58.972,20.458,19.396,136.272,57.0,27.0,21.0,133.0,4178.0,4178.0,4178.0,4178.0,246385.016,85473.524,81036.488,569344.416,0.267,0.424,1.283,1.99,-1.013,0.04,2.554,5.608,0.3469103981550566,M,0.09418480564729531,0.11608122823696268
MAX_IF43b-1_008_thumb0005-0316,68.906,144.148,28.849,146.375,66.0,149.0,25.0,140.0,9248.0,9248.0,9248.0,9248.0,637242.688,1333080.704,266795.552,1353676.0,0.19,0.316,2.057,1.892,-1.064,-0.282,4.898,4.147,2.091951354018518,M,0.5679565465597978,0.8179136224411818
MAX_IF43b-1_015_thumb0034-1314,78.117,44.632,9.993,148.014,72.0,39.0,12.0,139.0,4871.0,4871.0,4871.0,4871.0,380507.907,217402.472,48675.903,720976.194,0.267,1.703,1.839,1.96,-1.183,2.427,5.391,3.722,0.571348106046059,M,0.1551187586508899,0.25324750115710815
MAX_IF43b-1_011_thumb0008-0368,121.762,14.419,12.443,142.175,117.0,25.0,17.0,135.0,7846.0,7846.0,7846.0,7846.0,955344.652,113131.474,97627.778,1115505.05,0.182,0.157,0.498,2.004,-0.981,-0.214,0.748,4.314,0.11841953975788834,M,0.032150438257989994,0.08181519356480424
MAX_IF43b-1_013_thumb0004-0406,149.75,70.407,5.962,158.143,156.0,77.0,9.0,138.0,5187.0,5187.0,5187.0,5187.0,776753.25,365201.109,30924.894,820287.741,-0.142,0.495,0.539,1.642,-1.295,-0.539,-0.604,2.272,0.47016360601001667,M,0.12764756574028188,0.39949804655781757
MAX_IF43b-1_003_thumb0004-0574,132.1,106.769,21.725,177.175,141.0,112.0,24.0,153.0,9444.0,9444.0,9444.0,9444.0,1247552.4,1008326.436,205170.9,1673240.7,-0.154,0.417,0.668,1.532,-1.35,-0.704,0.014,1.872,0.8082437547312643,M,0.21943499347338533,0.6058205424592956
MAX_IF43b-1_003_thumb0008-1058,103.253,92.135,17.816,185.292,101.0,102.0,19.0,154.0,6747.0,6747.0,6747.0,6747.0,696647.991,621634.845,120204.552,1250165.124,0.05,0.185,4.195,1.38,-1.486,-0.872,31.689,1.114,0.8923227412278578,M,0.24226210688456573,0.5227854122403245
MAX_IF43b-1_005_thumb0015-1312,67.069,36.465,10.833,140.904,69.0,38.0,12.0,132.0,5696.0,5696.0,5696.0,5696.0,382025.024,207704.64,61704.768,802589.184,-0.007,0.636,0.624,1.861,-1.02,-0.525,-0.205,3.682,0.5436938078695076,M,0.14761072570370024,0.2069069306706836
MAX_IF43b-1_005_thumb0013-1279,70.467,25.203,8.485,139.824,72.0,30.0,10.0,129.0,5453.0,5453.0,5453.0,5453.0,384256.551,137431.959,46268.705,762460.272,-0.12,0.516,0.987,1.938,-1.204,-0.595,1.533,3.055,0.35765677551194175,M,0.09710240473960713,0.14300494648822812
MAX_IF43b-1_012_thumb0001-0046,81.58,90.377,14.394,149.455,83.0,96.0,12.0,139.0,5874.0,5874.0,5874.0,5874.0,479200.92,530874.498,84550.356,877898.67,-0.066,0.582,1.895,1.873,-0.961,0.489,4.956,3.662,1.1078328021573915,M,0.3007722389291305,0.51281030229602
MAX_IF43b-1_005_thumb0005-0470,141.419,92.612,19.113,166.224,138.0,95.0,19.0,148.0,5184.0,5184.0,5184.0,5184.0,733116.096,480100.608,99081.792,861705.216,0.082,0.385,0.94,1.541,-1.348,-0.732,0.944,1.793,0.6548766431667596,M,0.17779642722627734,0.5254919693753831
MAX_IF43b-1_005_thumb0004-0389,140.751,105.518,22.401,178.311,131.0,113.0,24.0,163.0,6167.0,6167.0,6167.0,6167.0,868011.417,650729.506,138146.967,1099643.937,0.192,-0.034,0.328,1.682,-1.351,-0.912,-0.494,3.181,0.749678510277014,M,0.20353476045660368,0.598722213369236
