 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MAX_IF43b-2_001_thumb_w1405-0001-1,15896,255.000,0.000,255,255,255,94.007,180.378,94.007,180.378,500.902,14,112,165,137,167.278,120.993,16.042,0.796,166.388,4053480.000,255,NaN,NaN,100,4053480.000,1,21,214,22.249,127.275,1.383,0.723,0.946
2,MAX_IF43b-2_001_thumb_w1405-0001-1,15867,255.000,0.000,255,255,255,506.874,217.815,506.874,217.815,482.416,429,152,157,133,152.802,132.214,4.168,0.857,157.537,4046085.000,255,NaN,NaN,100,4046085.000,1,429,223,4.733,130.672,1.156,0.865,0.976
3,MAX_IF43b-2_001_thumb_w1405-0001-1,22216,255.000,0.000,255,255,255,493.880,379.792,493.880,379.792,591.630,402,303,180,164,176.592,160.179,11.446,0.798,188.854,5665080.000,255,NaN,NaN,100,5665080.000,1,405,409,22.083,163.556,1.102,0.907,0.956
4,MAX_IF43b-2_001_thumb_w1405-0001-1,10952,255.000,0.000,255,255,255,248.213,475.068,248.213,475.068,416.274,178,415,132,118,138.364,100.781,27.900,0.794,139.671,2792760.000,255,NaN,NaN,100,2792760.000,1,181,499,29.134,100.379,1.373,0.728,0.956
5,MAX_IF43b-2_001_thumb_w1405-0001-1,5066,255.000,0.000,255,255,255,902.204,530.488,902.204,530.488,286.149,867,487,78,96,95.593,67.476,77.812,0.777,97.165,1291830.000,255,NaN,NaN,100,1291830.000,1,894,487,98.881,68.599,1.417,0.706,0.945
6,MAX_IF43b-2_001_thumb_w1405-0001-1,5456,255.000,0.000,255,255,255,955.216,563.874,955.216,563.874,302.777,910,508,85,103,96.856,71.723,85.645,0.748,104.393,1391280.000,255,NaN,NaN,100,1391280.000,1,945,508,99.372,73.671,1.350,0.741,0.927
7,MAX_IF43b-2_001_thumb_w1405-0001-1,26329,255.000,0.000,255,255,255,542.212,695.290,542.212,695.290,619.813,449,604,194,175,195.763,171.243,4.042,0.861,202.805,6713895.000,255,NaN,NaN,100,6713895.000,1,456,750,29.219,172.282,1.143,0.875,0.983
8,MAX_IF43b-2_001_thumb_w1405-0001-1,7297,255.000,0.000,255,255,255,190.101,817.541,190.101,817.541,352.735,147,759,85,119,117.478,79.086,94.399,0.737,120.669,1860735.000,255,NaN,NaN,100,1860735.000,1,174,878,80.460,76.459,1.485,0.673,0.956
9,MAX_IF43b-2_001_thumb_w1405-0001-1,12835,255.000,0.000,255,255,255,103.479,837.518,103.479,837.518,468.818,44,769,129,137,145.413,112.384,116.799,0.734,160.431,3272925.000,255,NaN,NaN,100,3272925.000,1,46,782,140.057,112.910,1.294,0.773,0.926
10,MAX_IF43b-2_001_thumb_w1405-0001-1,12269,255.000,0.000,255,255,255,401.380,1006.393,401.380,1006.393,430.375,339,940,125,131,128.681,121.396,85.304,0.832,135.248,3128595.000,255,NaN,NaN,100,3128595.000,1,362,950,128.395,123.248,1.060,0.943,0.961
11,MAX_IF43b-2_001_thumb_w1405-0001-1,7498,255.000,0.000,255,255,255,111.336,1138.048,111.336,1138.048,411.362,76,1078,84,126,117.556,81.210,90.294,0.557,128.082,1911990.000,255,NaN,NaN,100,1911990.000,1,89,1204,79.655,84.000,1.448,0.691,0.882
12,MAX_IF43b-2_001_thumb_w1405-0001-1,6688,255.000,0.000,255,255,255,42.776,1147.420,42.776,1147.420,347.806,1,1083,74,131,124.430,68.436,76.884,0.695,136.971,1705440.000,255,NaN,NaN,100,1705440.000,1,24,1214,73.020,74.000,1.818,0.550,0.955
13,MAX_IF43b-2_001_thumb_w1405-0001-1,5052,255.000,0.000,255,255,255,920.608,1180.007,920.608,1180.007,292.049,874,1144,99,81,100.701,63.876,21.162,0.744,99.609,1288260.000,255,NaN,NaN,100,1288260.000,1,874,1191,6.340,65.484,1.576,0.634,0.938
14,MAX_IF43b-2_001_thumb_w1405-0001-1,5155,255.000,0.000,255,255,255,946.071,1229.619,946.071,1229.619,296.434,892,1183,102,84,102.807,63.843,23.969,0.737,102.825,1314525.000,255,NaN,NaN,100,1314525.000,1,892,1228,7.263,66.457,1.610,0.621,0.927
15,MAX_IF43b-2_001_thumb_w1405-0001-1,1154,255.000,0.000,255,255,255,462.156,1272.445,462.156,1272.445,141.882,441,1253,45,37,43.682,33.637,27.525,0.720,49.244,294270.000,255,NaN,NaN,100,294270.000,1,443,1289,29.168,36.503,1.299,0.770,0.910
16,MAX_IF43b-2_001_thumb_w1405-0001:0001-0180,15896,185.397,15.363,184,147,232,94.007,180.378,94.531,180.546,500.902,14,112,165,137,167.278,120.993,16.042,0.796,166.388,2947069.000,185,0.156,-0.353,100,2947069.000,1,21,214,22.249,127.275,1.383,0.723,0.946
17,MAX_IF43b-2_001_thumb_w1405-0001:0002-0218,15867,189.128,17.698,184,148,242,506.874,217.815,507.674,218.595,482.416,429,152,157,133,152.802,132.214,4.168,0.857,157.537,3000894.000,188,0.203,-0.208,100,3000894.000,1,429,223,4.733,130.672,1.156,0.865,0.976
18,MAX_IF43b-2_001_thumb_w1405-0001:0003-0385,22216,179.020,13.008,173,149,226,493.880,379.792,494.599,380.058,591.630,402,303,180,164,176.592,160.179,11.446,0.798,188.854,3977116.000,177,0.549,0.226,100,3977116.000,1,405,409,22.083,163.556,1.102,0.907,0.956
19,MAX_IF43b-2_001_thumb_w1405-0001:0004-0474,10952,220.771,32.339,234,149,282,248.213,475.068,249.088,475.270,416.274,178,415,132,118,138.364,100.781,27.900,0.794,139.671,2417885.000,227,-0.451,-0.696,100,2417885.000,1,181,499,29.134,100.379,1.373,0.728,0.956
20,MAX_IF43b-2_001_thumb_w1405-0001:0005-0535,5066,248.125,47.519,291,149,329,902.204,530.488,902.783,531.264,286.149,867,487,78,96,95.593,67.476,77.812,0.777,97.165,1257000.000,259,-0.537,-0.938,100,1257000.000,1,894,487,98.881,68.599,1.417,0.706,0.945
21,MAX_IF43b-2_001_thumb_w1405-0001:0006-0559,5456,235.730,46.742,292,149,314,955.216,563.874,953.928,565.047,302.777,910,508,85,103,96.856,71.723,85.645,0.748,104.393,1286145.000,238,-0.190,-1.245,100,1286145.000,1,945,508,99.372,73.671,1.350,0.741,0.927
22,MAX_IF43b-2_001_thumb_w1405-0001:0007-0691,26329,168.118,9.165,165,150,210,542.212,695.290,542.050,695.556,619.813,449,604,194,175,195.763,171.243,4.042,0.861,202.805,4426376.000,166,1.152,1.844,100,4426376.000,1,456,750,29.219,172.282,1.143,0.875,0.983
23,MAX_IF43b-2_001_thumb_w1405-0001:0008-0818,7297,166.248,9.346,163,149,196,190.101,817.541,189.723,816.764,352.735,147,759,85,119,117.478,79.086,94.399,0.737,120.669,1213115.000,166,0.348,-0.495,100,1213115.000,1,174,878,80.460,76.459,1.485,0.673,0.956
24,MAX_IF43b-2_001_thumb_w1405-0001:0009-0837,12835,167.324,8.177,165,149,199,103.479,837.518,103.651,837.217,468.818,44,769,129,137,145.413,112.384,116.799,0.734,160.431,2147600.000,167,0.681,0.755,100,2147600.000,1,46,782,140.057,112.910,1.294,0.773,0.926
