,Label,Mean_normalized,Median_normalized,Area,total_intensity,Skew,Kurt
1,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,15896.0000,4053480.0000,,
2,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,15867.0000,4046085.0000,,
3,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,22216.0000,5665080.0000,,
4,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,10952.0000,2792760.0000,,
5,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,5066.0000,1291830.0000,,
6,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,5456.0000,1391280.0000,,
7,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,26329.0000,6713895.0000,,
8,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,7297.0000,1860735.0000,,
9,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,12835.0000,3272925.0000,,
10,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,12269.0000,3128595.0000,,
11,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,7498.0000,1911990.0000,,
12,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,6688.0000,1705440.0000,,
13,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,5052.0000,1288260.0000,,
14,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,5155.0000,1314525.0000,,
15,MAX_IF43b-2_001_thumb_w1405-0001-1,255.0000,255,1154.0000,294270.0000,,
16,MAX_IF43b-2_001_thumb_w1405-0001:0001-0180,58.0310,58,15896.0000,922460.7760,0.1560,-0.3530
17,MAX_IF43b-2_001_thumb_w1405-0001:0002-0218,61.7620,61,15867.0000,979977.6540,0.2030,-0.2080
18,MAX_IF43b-2_001_thumb_w1405-0001:0003-0385,51.6540,50,22216.0000,1147545.2640,0.5490,0.2260
19,MAX_IF43b-2_001_thumb_w1405-0001:0004-0474,93.4050,100,10952.0000,1022971.5600,-0.4510,-0.6960
20,MAX_IF43b-2_001_thumb_w1405-0001:0005-0535,120.7590,132,5066.0000,611765.0940,-0.5370,-0.9380
21,MAX_IF43b-2_001_thumb_w1405-0001:0006-0559,108.3640,111,5456.0000,591233.9840,-0.1900,-1.2450
22,MAX_IF43b-2_001_thumb_w1405-0001:0007-0691,40.7520,39,26329.0000,1072959.4080,1.1520,1.8440
23,MAX_IF43b-2_001_thumb_w1405-0001:0008-0818,38.8820,39,7297.0000,283721.9540,0.3480,-0.4950
24,MAX_IF43b-2_001_thumb_w1405-0001:0009-0837,39.9580,40,12835.0000,512860.9300,0.6810,0.7550
25,MAX_IF43b-2_001_thumb_w1405-0001:0010-1005,80.5280,85,12269.0000,987998.0320,-0.5000,-0.4040
26,MAX_IF43b-2_001_thumb_w1405-0001:0011-1141,31.5100,31,7498.0000,236261.9800,0.4540,-0.5080
27,MAX_IF43b-2_001_thumb_w1405-0001:0012-1148,31.1360,30,6688.0000,208237.5680,0.6510,-0.2800
28,MAX_IF43b-2_001_thumb_w1405-0001:0013-1184,60.9630,64,5052.0000,307985.0760,-0.7290,0.1440
29,MAX_IF43b-2_001_thumb_w1405-0001:0014-1225,59.0140,63,5155.0000,304217.1700,-0.7690,-0.1670
30,MAX_IF43b-2_001_thumb_w1405-0001:0015-1271,28.5450,28,1154.0000,32940.9300,0.5340,-0.4990
31,MAX_IF43b-2_001_thumb_w1405-0002:0001-0180,658.8110,683,15896.0000,10472459.6560,-0.0290,-1.0660
32,MAX_IF43b-2_001_thumb_w1405-0002:0002-0218,546.9990,543,15867.0000,8679233.1330,0.2040,-0.7100
33,MAX_IF43b-2_001_thumb_w1405-0002:0003-0385,443.3730,456,22216.0000,9849974.5680,0.1740,-0.6590
34,MAX_IF43b-2_001_thumb_w1405-0002:0004-0474,456.3940,464,10952.0000,4998427.0880,0.3690,0.0830
35,MAX_IF43b-2_001_thumb_w1405-0002:0005-0535,419.6820,442,5066.0000,2126109.0120,-0.1050,-0.1170
36,MAX_IF43b-2_001_thumb_w1405-0002:0006-0559,417.8290,431,5456.0000,2279675.0240,0.5890,1.0600
37,MAX_IF43b-2_001_thumb_w1405-0002:0007-0691,386.9720,405,26329.0000,10188585.7880,-0.0670,-0.5920
38,MAX_IF43b-2_001_thumb_w1405-0002:0008-0818,407.7890,418,7297.0000,2975636.3330,-0.0710,-0.6960
39,MAX_IF43b-2_001_thumb_w1405-0002:0009-0837,512.0240,496,12835.0000,6571828.0400,0.3550,-0.5180
40,MAX_IF43b-2_001_thumb_w1405-0002:0010-1005,329.0130,342,12269.0000,4036660.4970,0.2730,-0.4130
41,MAX_IF43b-2_001_thumb_w1405-0002:0011-1141,389.1510,425,7498.0000,2917854.1980,-0.2310,-0.6860
42,MAX_IF43b-2_001_thumb_w1405-0002:0012-1148,388.7120,397,6688.0000,2599705.8560,0.0610,-1.0170
43,MAX_IF43b-2_001_thumb_w1405-0002:0013-1184,207.7800,229,5052.0000,1049704.5600,-0.0250,-0.9110
44,MAX_IF43b-2_001_thumb_w1405-0002:0014-1225,234.1210,246,5155.0000,1206893.7550,0.3270,0.0820
45,MAX_IF43b-2_001_thumb_w1405-0002:0015-1271,262.8540,262,1154.0000,303333.5160,0.3910,-0.1510
46,MAX_IF43b-2_001_thumb_w1405-0003:0001-0180,60.9620,58,15896.0000,969051.9520,1.1750,3.0270
47,MAX_IF43b-2_001_thumb_w1405-0003:0002-0218,33.0660,30,15867.0000,524658.2220,2.7050,14.6480
48,MAX_IF43b-2_001_thumb_w1405-0003:0003-0385,37.7970,33,22216.0000,839698.1520,2.4650,10.3280
49,MAX_IF43b-2_001_thumb_w1405-0003:0004-0474,44.8310,45,10952.0000,490989.1120,0.0230,-0.1110
50,MAX_IF43b-2_001_thumb_w1405-0003:0005-0535,36.6250,35,5066.0000,185542.2500,0.1630,-0.9550
51,MAX_IF43b-2_001_thumb_w1405-0003:0006-0559,44.8330,40,5456.0000,244608.8480,0.2850,-1.1810
52,MAX_IF43b-2_001_thumb_w1405-0003:0007-0691,14.3010,13,26329.0000,376531.0290,2.3380,13.3820
53,MAX_IF43b-2_001_thumb_w1405-0003:0008-0818,13.2780,11,7297.0000,96889.5660,2.2910,11.4220
54,MAX_IF43b-2_001_thumb_w1405-0003:0009-0837,19.3710,18,12835.0000,248626.7850,0.3430,0.9830
55,MAX_IF43b-2_001_thumb_w1405-0003:0010-1005,36.7300,36,12269.0000,450640.3700,0.0570,-0.6580
56,MAX_IF43b-2_001_thumb_w1405-0003:0011-1141,7.8800,7,7498.0000,59084.2400,0.1200,-0.0170
57,MAX_IF43b-2_001_thumb_w1405-0003:0012-1148,11.0600,10,6688.0000,73969.2800,0.0750,0.8800
58,MAX_IF43b-2_001_thumb_w1405-0003:0013-1184,11.0310,9,5052.0000,55728.6120,0.4400,-0.1450
