nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004
MAX_IF43b-2_001_thumb0001-0180,58.0310,658.8110,60.9620,208.2020,58.0000,683.0000,58.0000,180.0000,15896.0000,15896.0000,15896.0000,15896.0000,922460.7760,10472459.6560,969051.9520,3309578.9920,0.1560,-0.0290,1.1750,2.7360,-0.3530,-1.0660,3.0270,8.4930
MAX_IF43b-2_001_thumb0002-0218,61.7620,546.9990,33.0660,199.1320,61.0000,543.0000,30.0000,150.0000,15867.0000,15867.0000,15867.0000,15867.0000,979977.6540,8679233.1330,524658.2220,3159627.4440,0.2030,0.2040,2.7050,3.7870,-0.2080,-0.7100,14.6480,17.8800
MAX_IF43b-2_001_thumb0003-0385,51.6540,443.3730,37.7970,177.9880,50.0000,456.0000,33.0000,150.0000,22216.0000,22216.0000,22216.0000,22216.0000,1147545.2640,9849974.5680,839698.1520,3954181.4080,0.5490,0.1740,2.4650,3.7290,0.2260,-0.6590,10.3280,17.6360
MAX_IF43b-2_001_thumb0004-0474,93.4050,456.3940,44.8310,221.4160,100.0000,464.0000,45.0000,182.0000,10952.0000,10952.0000,10952.0000,10952.0000,1022971.5600,4998427.0880,490989.1120,2424948.0320,-0.4510,0.3690,0.0230,1.3180,-0.6960,0.0830,-0.1110,1.0980
MAX_IF43b-2_001_thumb0005-0535,120.7590,419.6820,36.6250,219.4800,132.0000,442.0000,35.0000,182.0000,5066.0000,5066.0000,5066.0000,5066.0000,611765.0940,2126109.0120,185542.2500,1111885.6800,-0.5370,-0.1050,0.1630,1.2940,-0.9380,-0.1170,-0.9550,1.0330
MAX_IF43b-2_001_thumb0006-0559,108.3640,417.8290,44.8330,242.0710,111.0000,431.0000,40.0000,212.0000,5456.0000,5456.0000,5456.0000,5456.0000,591233.9840,2279675.0240,244608.8480,1320739.3760,-0.1900,0.5890,0.2850,1.0450,-1.2450,1.0600,-1.1810,0.3650
MAX_IF43b-2_001_thumb0007-0691,40.7520,386.9720,14.3010,159.6330,39.0000,405.0000,13.0000,139.0000,26329.0000,26329.0000,26329.0000,26329.0000,1072959.4080,10188585.7880,376531.0290,4202977.2570,1.1520,-0.0670,2.3380,5.6900,1.8440,-0.5920,13.3820,49.6330
MAX_IF43b-2_001_thumb0008-0818,38.8820,407.7890,13.2780,151.1310,39.0000,418.0000,11.0000,129.0000,7297.0000,7297.0000,7297.0000,7297.0000,283721.9540,2975636.3330,96889.5660,1102802.9070,0.3480,-0.0710,2.2910,4.8570,-0.4950,-0.6960,11.4220,26.9600
MAX_IF43b-2_001_thumb0009-0837,39.9580,512.0240,19.3710,175.6100,40.0000,496.0000,18.0000,138.0000,12835.0000,12835.0000,12835.0000,12835.0000,512860.9300,6571828.0400,248626.7850,2253954.3500,0.6810,0.3550,0.3430,3.6490,0.7550,-0.5180,0.9830,15.2510
MAX_IF43b-2_001_thumb0010-1005,80.5280,329.0130,36.7300,177.3910,85.0000,342.0000,36.0000,157.0000,12269.0000,12269.0000,12269.0000,12269.0000,987998.0320,4036660.4970,450640.3700,2176410.1790,-0.5000,0.2730,0.0570,1.5960,-0.4040,-0.4130,-0.6580,2.8460
MAX_IF43b-2_001_thumb0011-1141,31.5100,389.1510,7.8800,169.3650,31.0000,425.0000,7.0000,136.0000,7498.0000,7498.0000,7498.0000,7498.0000,236261.9800,2917854.1980,59084.2400,1269898.7700,0.4540,-0.2310,0.1200,3.1860,-0.5080,-0.6860,-0.0170,11.0420
MAX_IF43b-2_001_thumb0012-1148,31.1360,388.7120,11.0600,169.9580,30.0000,397.0000,10.0000,139.0000,6688.0000,6688.0000,6688.0000,6688.0000,208237.5680,2599705.8560,73969.2800,1136679.1040,0.6510,0.0610,0.0750,4.3090,-0.2800,-1.0170,0.8800,24.9480
MAX_IF43b-2_001_thumb0013-1184,60.9630,207.7800,11.0310,151.3260,64.0000,229.0000,9.0000,144.0000,5052.0000,5052.0000,5052.0000,5052.0000,307985.0760,1049704.5600,55728.6120,764498.9520,-0.7290,-0.0250,0.4400,1.2970,0.1440,-0.9110,-0.1450,1.6120
MAX_IF43b-2_001_thumb0014-1225,59.0140,234.1210,8.1220,142.4430,63.0000,246.0000,6.0000,134.0000,5155.0000,5155.0000,5155.0000,5155.0000,304217.1700,1206893.7550,41868.9100,734293.6650,-0.7690,0.3270,0.5170,1.6490,-0.1670,0.0820,-0.0910,2.5120
MAX_IF43b-2_001_thumb0015-1271,28.5450,262.8540,-8.9890,135.9900,28.0000,262.0000,-10.0000,126.0000,1154.0000,1154.0000,1154.0000,1154.0000,32940.9300,303333.5160,-10373.3060,156932.4600,0.5340,0.3910,0.6410,4.5730,-0.4990,-0.1510,0.4300,23.6590
