nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-2_008_thumb0009-0880,94.295,352.871,43.542,188.016,96.0,360.0,41.0,173.0,12576.0,12576.0,12576.0,12576.0,1185853.92,4437705.696,547584.192,2364489.216,-0.149,0.311,0.33,1.374,-0.987,-0.101,-0.723,1.842,3.742202661859059,M,0.48418975830795596,0.9896544582343678
MAX_IF43b-2_002_thumb0010-0511,76.628,184.063,41.391,162.512,74.0,175.0,44.0,145.0,5835.0,5835.0,5835.0,5835.0,447124.38,1074007.605,241516.485,948257.52,0.11,1.136,-0.032,1.753,-0.923,1.167,-0.386,2.614,2.402033199352717,M,0.3107901894507501,0.5162191524551251
MAX_IF43b-2_002_thumb0016-1239,68.369,257.818,13.983,178.605,73.0,275.0,15.0,154.0,11401.0,11401.0,11401.0,11401.0,779474.969,2939383.018,159420.183,2036275.605,-0.281,-0.479,0.132,1.312,-0.993,0.15,-0.537,1.082,3.7709780748584882,M,0.4879129025426094,0.7230708477405857
MAX_IF43b-2_009_thumb0008-0595,124.397,359.127,33.473,215.804,134.0,374.0,29.0,175.0,12316.0,12316.0,12316.0,12316.0,1532073.452,4423008.132,412253.468,2657842.064,-0.218,-0.216,0.491,1.499,-1.287,0.078,-0.886,1.906,2.8869426111562175,M,0.3735308243435037,1.0071999020104623
MAX_IF43b-2_009_thumb0006-0526,81.325,183.573,45.362,167.307,82.0,186.0,45.0,149.0,7173.0,7173.0,7173.0,7173.0,583344.225,1316769.129,325381.626,1200093.111,-0.058,0.54,0.378,2.315,-1.123,0.202,-0.45,6.555,2.257276360282816,M,0.29206063756489375,0.5148449089368569
MAX_IF43b-2_008_thumb0008-0847,93.057,452.799,48.151,202.91,99.0,458.0,46.0,161.0,14250.0,14250.0,14250.0,14250.0,1326062.25,6452385.75,686151.75,2891467.5,-0.283,0.191,0.588,1.69,-1.046,0.16,-0.035,2.643,4.8658241722815045,M,0.6295709887544096,1.2699103894456147
MAX_IF43b-2_008_thumb0012-1144,66.002,183.331,26.285,154.37,68.0,196.0,23.0,144.0,5956.0,5956.0,5956.0,5956.0,393107.912,1091919.436,156553.46,919427.72,-0.143,0.187,1.878,1.657,-1.041,-0.085,4.438,3.43,2.7776582527802187,M,0.3593909255057887,0.5141662009135488
MAX_IF43b-2_008_thumb0013-1230,60.786,138.773,11.23,145.113,64.0,148.0,5.0,135.0,6443.0,6443.0,6443.0,6443.0,391644.198,894114.439,72354.89,934963.059,-0.285,0.299,1.355,1.998,-1.063,0.742,2.137,4.965,2.2829763432369297,M,0.29538586328339855,0.38919978726661564
MAX_IF43b-2_010_thumb0006-0740,87.446,333.293,35.628,183.152,85.0,347.0,32.0,161.0,15200.0,15200.0,15200.0,15200.0,1329179.2,5066053.6,541545.6,2783910.4,0.05,0.129,0.522,1.777,-1.234,-0.43,-0.123,3.426,3.811415044713309,M,0.4931448924773782,0.934746418233029
MAX_IF43b-2_010_thumb0005-0635,117.153,347.149,35.941,210.402,125.0,364.0,30.0,177.0,8677.0,8677.0,8677.0,8677.0,1016536.581,3012211.873,311860.057,1825658.154,-0.176,-0.048,0.566,1.871,-1.174,-0.384,-0.743,3.706,2.963210502505271,M,0.3833988446555331,0.973606659435325
MAX_IF43b-2_010_thumb0004-0586,128.27,354.183,30.025,186.519,137.0,372.0,27.0,162.0,4175.0,4175.0,4175.0,4175.0,535527.25,1478714.025,125354.375,778716.825,-0.284,-0.214,0.536,2.183,-1.277,-0.07,-0.494,5.369,2.7612302175099397,M,0.357265362796943,0.9933340653689964
MAX_IF43b-2_005_thumb0002-0384,114.607,474.932,43.1,203.348,117.0,478.0,41.0,166.0,11292.0,11292.0,11292.0,11292.0,1294142.244,5362932.144,486685.2,2296205.616,-0.146,0.498,0.672,1.729,-1.081,0.421,0.252,3.118,4.144005165478549,M,0.5361774978010395,1.3319841277922098
MAX_IF43b-2_001_thumb0006-0559,108.364,417.829,44.833,242.071,111.0,431.0,40.0,212.0,5456.0,5456.0,5456.0,5456.0,591233.984,2279675.024,244608.848,1320739.376,-0.19,0.589,0.285,1.045,-1.245,1.06,-1.181,0.365,3.855791591303385,M,0.4988866096716353,1.171834275499
MAX_IF43b-2_001_thumb0005-0535,120.759,419.682,36.625,219.48,132.0,442.0,35.0,182.0,5066.0,5066.0,5066.0,5066.0,611765.094,2126109.012,185542.25,1111885.68,-0.537,-0.105,0.163,1.294,-0.938,-0.117,-0.955,1.033,3.475368295530768,M,0.44966504679044333,1.1770311596609413
MAX_IF43b-2_011_thumb0004-0526,118.189,458.153,38.219,187.952,118.0,468.0,37.0,157.0,13957.0,13957.0,13957.0,13957.0,1649563.873,6394441.421,533422.583,2623246.064,-0.036,0.21,0.305,1.918,-1.165,-0.427,-0.425,3.751,3.8764436622697547,M,0.5015587047325687,1.2849261033166521
